1,33597472200,33597472900,00000000700,a00,read
1,33597483100,33597485500,00000002400,a07,poll
1,33597497900,33598461600,00000963700,a07,poll
1,33598472500,33598474500,00000002000,a07,poll
1,33605717200,33605720500,00000003300,a2f,recvmsg
1,33605721100,33605722300,00000001200,a2f,recvmsg
1,33605733500,33605734600,00000001100,a00,read
1,33605746000,33605755200,00000009200,a07,poll
1,33605770600,33606979500,00001208900,a07,poll
1,33606980800,33606981600,00000000800,a2d,recvfrom
1,33606984800,33606987500,00000002700,a2e,sendmsg
1,33605746700,33606995100,00001248400,b33,sendmmsg
1,33606991100,33606996400,00000005300,a07,poll
1,33607009400,33607009800,00000000400,a2d,recvfrom
1,33607011200,33607961300,00000950100,a07,poll
1,33607970900,33607972900,00000002000,a07,poll
1,33607985600,33607987900,00000002300,a2c,sendto
1,33609364200,33609379500,00000015300,7ef,local_timer_vector
1,33607990400,33611663100,00003672700,a07,poll
1,33611681700,33611682700,00000001000,a00,read
1,33611694800,33611697400,00000002600,a07,poll
1,33611711700,33612645500,00000933800,a07,poll
1,33612656000,33612657900,00000001900,a07,poll
1,33612667100,33612667900,00000000800,a00,read
1,33612677300,33612679400,00000002100,a07,poll
1,33612690300,33613627800,00000937500,a07,poll
0,20641872700,36012747100,15370874400,ae8,epoll_wait
0,36012805900,36012822000,00000016100,a00,read
0,36012834700,36012839200,00000004500,a4e,getdents
0,36012879300,36012893700,00000014400,a00,read
0,36012911100,36012916800,00000005700,a00,read
0,36012988900,36012996200,00000007300,aca,futex
0,20645061200,36013030500,15367969300,a07,poll
0,36012962000,36013643700,00000681700,ae8,epoll_wait
0,36013673700,36013684700,00000011000,a00,read
0,36013711800,36013724000,00000012200,a00,read
0,36013738000,36013741900,00000003900,a00,read
0,36012993300,36013783100,00000789800,a17,select
0,36013799600,36013805500,00000005900,aca,futex
0,36013778300,36014225600,00000447300,ae8,epoll_wait
0,36014244600,36014251600,00000007000,a00,read
0,36014273300,36014284500,00000011200,a00,read
0,36014297000,36014301000,00000004000,a00,read
0,36013803400,36014332600,00000529200,a17,select
0,36014345800,36014350800,00000005000,aca,futex
0,36014444700,36014448300,00000003600,a2c,sendto
0,36014465300,36014466300,00000001000,a2f,recvmsg
0,36014476300,36014476500,00000000200,a2f,recvmsg
0,36014525300,36014529000,00000003700,a02,open
0,36014650800,36014656200,00000005400,a2e,sendmsg
0,36014658200,36014661400,00000003200,a2e,sendmsg
0,36014662600,36014665800,00000003200,a2e,sendmsg
0,36014667100,36014670500,00000003400,a2e,sendmsg
0,36014674200,36014674800,00000000600,a2e,sendmsg
0,36014685600,36014686700,00000001100,a00,read
0,36014694800,36014696800,00000002000,a2f,recvmsg
0,36014707400,36014707600,00000000200,a2f,recvmsg
0,36014745800,36014747000,00000001200,a2f,recvmsg
0,36014855600,36014857300,00000001700,a2f,recvmsg
0,36014867300,36014867500,00000000200,a2f,recvmsg
0,36014677400,36014885300,00000207900,ae8,epoll_wait
0,36014889100,36014890300,00000001200,a2f,recvmsg
0,36014900900,36014901100,00000000200,a2f,recvmsg
0,36014943600,36014948900,00000005300,a2e,sendmsg
